# Elements 1e+06
[00001.960 ms] [14.357358] sumSeq
[00000.485 ms] [18.997906] sumCuda<<<auto, 1024>>> [thread-duty=24]
[00000.480 ms] [18.997910] sumCuda<<<auto, 1024>>> [thread-duty=32]
[00000.481 ms] [18.997906] sumCuda<<<auto, 1024>>> [thread-duty=48]
[00000.479 ms] [18.997908] sumCuda<<<auto, 1024>>> [thread-duty=64]

# Elements 1e+09
[01477.199 ms] [15.403683] sumSeq
[00004.917 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=1]
[00004.900 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=2]
[00004.909 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=3]
[00004.906 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=4]
[00004.905 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=6]
[00005.222 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=8]
[00004.910 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=12]
[00004.908 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=16]
[00004.904 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=24]
[00004.904 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=32]
[00004.906 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=48]
[00004.899 ms] [21.299837] sumCuda<<<auto, 32>>> [thread-duty=64]
[00004.703 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=1]
[00004.700 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=2]
[00004.702 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=3]
[00004.701 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=4]
[00004.701 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=6]
[00004.704 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=8]
[00004.700 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=12]
[00004.698 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=16]
[00004.692 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=24]
[00004.699 ms] [21.299843] sumCuda<<<auto, 64>>> [thread-duty=32]
